timestamp_utc,pid,rss_kb,vsz_kb,pcpu,pmem
2026-03-16T00:20:12Z,4969,1778816,413116272,736.2,1.3
2026-03-16T00:20:43Z,4969,1803312,413124464,98.3,1.3
2026-03-16T00:21:13Z,4969,1803808,413124464,777.0,1.3
2026-03-16T00:21:43Z,4969,1826448,413149040,99.7,1.4
2026-03-16T00:22:13Z,4969,2085296,413273968,764.6,1.6
2026-03-16T00:22:43Z,4969,2087216,413273968,100.0,1.6
2026-03-16T00:23:13Z,4969,2079664,413265776,780.6,1.5
2026-03-16T00:23:43Z,4969,2089456,413282160,100.0,1.6
2026-03-16T00:24:13Z,5294,9490160,420738096,100.0,7.1
2026-03-16T00:24:43Z,5294,9242800,420475968,100.0,6.9
2026-03-16T00:25:13Z,5295,7010272,418247744,99.4,5.2
2026-03-16T00:25:43Z,5295,6444176,417502288,100.0,4.8
2026-03-16T00:26:13Z,5294,9275568,420738144,99.9,6.9
2026-03-16T00:26:43Z,5295,6438512,417494096,100.0,4.8
2026-03-16T00:27:13Z,5294,8911872,419878000,100.0,6.6
2026-03-16T00:27:43Z,5294,8920496,419886192,99.2,6.6
2026-03-16T00:28:13Z,4969,2209696,413400416,0.0,1.6
2026-03-16T00:28:43Z,NA,NA,NA,NA,NA
