timestamp_utc,pid,rss_kb,vsz_kb,pcpu,pmem,command
2026-03-15T20:32:01Z,94401,2506224,413355920,779.5,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:32:31Z,94401,2507344,413355920,99.6,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:33:01Z,94401,2539168,413388688,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:33:31Z,94401,2515536,413364112,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:34:01Z,94401,2540112,413388688,98.5,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:34:31Z,94401,2530080,413380496,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:35:01Z,94401,2536128,413388688,99.7,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:35:31Z,94401,2527760,413380496,126.7,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:36:01Z,94401,2540112,413388688,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
2026-03-15T20:36:31Z,94401,2540112,413388688,100.0,1.9,"/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=inst/oklahoma/oklahoma_analysis.R"
