timestamp_utc,pid,rss_kb,vsz_kb,pcpu,pmem
2026-03-16T00:42:20Z,6968,32,410060064,0.0,0.0
2026-03-16T00:42:50Z,6968,2007472,413117296,770.1,1.5
2026-03-16T00:43:20Z,6968,2038256,413166448,101.4,1.5
2026-03-16T00:43:50Z,6968,2051440,413150064,795.4,1.5
2026-03-16T00:44:20Z,6968,2035056,413133680,100.0,1.5
2026-03-16T00:44:50Z,6968,2228640,413291376,100.0,1.7
2026-03-16T00:45:20Z,6968,2226176,413283184,799.2,1.7
2026-03-16T00:45:50Z,6968,2233312,413291376,100.0,1.7
2026-03-16T00:46:20Z,7345,119408,413382688,100.0,0.1
2026-03-16T00:46:50Z,7343,6590528,417839168,100.0,4.9
2026-03-16T00:47:20Z,7342,10516096,421779552,100.0,7.8
2026-03-16T00:47:50Z,7345,1290048,413382688,100.0,1.0
2026-03-16T00:48:21Z,7343,6267600,417396832,100.0,4.7
2026-03-16T00:48:51Z,7343,6143536,417257568,99.4,4.6
2026-03-16T00:49:21Z,7342,8981728,420403312,99.2,6.7
2026-03-16T00:49:51Z,7342,8808928,420157552,100.0,6.6
2026-03-16T00:50:21Z,7342,8852112,420182128,98.8,6.6
