"model","n_boot","mean_saved","sd_saved","q025","q50","q975"
"Naive Bivaraite ETAS with KDE",64,340.678,101.426230817008,138.75138125,331.50453125,572.18128125
"SEM Bivariate ETAS with KDE",64,-118.436,74.760980691059,-206.238925,-140.507125,123.556025
