event_id,time_utc,mag,status,place,lon,lat,depth_km
usc000mj5f,2014-02-06T12:48:08.630Z,3.3,reviewed,"5 km E of Cherokee, Oklahoma",-98.2949,36.7464,4.45
usc000mjxz,2014-02-07T02:00:37.400Z,2.6,reviewed,"7 km NNW of Perkins, Oklahoma",-97.076,36.036,5
usc000mlar,2014-02-09T02:16:02Z,4.1,reviewed,"6 km SSW of Langston, Oklahoma",-97.292,35.893,5
usc000mlcl,2014-02-09T04:55:14.100Z,2.7,reviewed,"7 km NW of Meridian, Oklahoma",-97.297,35.891,4.4
usc000mlrm,2014-02-09T21:25:26.260Z,2.6,reviewed,"7 km NNE of Lake Aluma, Oklahoma",-97.4002,35.5956,6.72
usc000mlxh,2014-02-10T05:18:17.920Z,2.8,reviewed,"3 km NE of Wakita, Oklahoma",-97.8944,36.9067,4.71
usc000mmn2,2014-02-10T23:37:39Z,3.5,reviewed,"6 km SSE of Tryon, Oklahoma",-96.9324,35.8162,5
usc000mmsb,2014-02-11T03:19:54.040Z,3,reviewed,"6 km N of Medford, Oklahoma",-97.7345,36.8657,5
usc000mmvl,2014-02-11T08:49:21.400Z,3,reviewed,"7 km ESE of Orlando, Oklahoma",-97.2952,36.1265,7.78
usc000mn7q,2014-02-11T16:41:42.280Z,2.5,reviewed,"9 km E of Manchester, Oklahoma",-97.929,36.993,10.6
usc000mnm8,2014-02-12T00:41:41.110Z,2.8,reviewed,"21 km NNE of Snyder, Texas",-100.8406,32.9027,4.92
usc000mp06,2014-02-12T12:41:37Z,3.4,reviewed,"9 km E of Manchester, Oklahoma",-97.9271,36.9963,10.42
usc000ni0l,2014-02-12T22:51:33Z,2.5,reviewed,"3 km NNE of Medford, Oklahoma",-97.7237,36.8372,5
usc000mqbw,2014-02-13T21:26:13.830Z,2.5,reviewed,"3 km NNE of Morrison, Oklahoma",-96.993,36.325,5
usc000mtf8,2014-02-14T05:55:56.160Z,2.7,reviewed,"8 km NNW of Morrison, Oklahoma",-97.055,36.367,5
usc000mr2m,2014-02-14T17:43:06.300Z,2.9,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.4765,35.7801,3.621
usc000n2z8,2014-02-14T17:51:28.800Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4752,35.7752,5
usc000mr2p,2014-02-14T20:46:15.500Z,3,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4693,35.7756,5
usc000mr2r,2014-02-14T21:51:55.100Z,2.7,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.4717,35.7779,3.763
usc000mr2s,2014-02-14T23:05:52.100Z,2.9,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.477,35.775,3.7
usc000mr0g,2014-02-15T00:19:12.990Z,3.1,reviewed,"11 km SE of Cedar Valley, Oklahoma",-97.4807,35.7818,5
usc000napw,2014-02-15T18:05:07.200Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.473,35.7762,5
usc000mt94,2014-02-15T23:20:46.200Z,3.1,reviewed,"4 km NE of Milan, Kansas",-97.6446,37.2918,5
usc000mrdm,2014-02-16T01:51:47.800Z,3.3,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.477,35.781,5
usc000mt9c,2014-02-16T08:39:56.660Z,2.6,reviewed,"11 km SE of Cedar Valley, Oklahoma",-97.479,35.78,5
usc000mt9i,2014-02-16T11:20:54.580Z,2.6,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.476,35.778,5
usc000mrse,2014-02-17T04:54:59Z,3.8,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.469,35.776,7.4
usc000nszq,2014-02-17T05:02:11.780Z,3.2,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.466,35.777,5.39
usc000mrtq,2014-02-17T05:31:06.300Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.464,35.771,5.028
usc000mru0,2014-02-17T05:37:13.180Z,2.9,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.478,35.776,5
usc000mt9x,2014-02-17T07:40:49.910Z,2.6,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.466,35.773,5
usc000mrx5,2014-02-17T08:24:21.910Z,2.7,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.46,35.77,4.55
usc000mrza,2014-02-17T12:57:39Z,3.1,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.463,35.772,5
usc000ms02,2014-02-17T14:19:13.770Z,3,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.475,35.775,4.4
usc000msxx,2014-02-17T14:37:30.460Z,2.7,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.473,35.778,5
usc000msfq,2014-02-18T02:44:11.270Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4617,35.7713,5
usc000mta4,2014-02-18T03:11:19.340Z,2.6,reviewed,Oklahoma,-97.4735,35.7752,4.83
usc000mta9,2014-02-18T03:59:08.610Z,2.5,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.4628,35.7716,4.72
usc000msib,2014-02-18T07:15:32.900Z,2.7,reviewed,"8 km E of Marland, Oklahoma",-97.062,36.5526,5
usc000msmc,2014-02-18T11:53:51.140Z,3.4,reviewed,"11 km SSW of Guthrie, Oklahoma",-97.467,35.777,5.03
usc000msmq,2014-02-18T12:16:44.020Z,3.2,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.459,35.77,5.14
usc000msne,2014-02-18T12:29:49.700Z,2.7,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.469,35.776,5
usc000msxf,2014-02-18T14:22:01.540Z,2.7,reviewed,"7 km E of Jefferson, Oklahoma",-97.71,36.718,5
usc000msxs,2014-02-18T15:17:18.850Z,2.8,reviewed,"12 km SSW of Guthrie, Oklahoma",-97.454,35.771,4.8
usc000mt87,2014-02-19T03:04:55.250Z,2.9,reviewed,"5 km E of Orlando, Oklahoma",-97.3148,36.1388,0.99
