event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
us10001pwl,2015-03-21T13:00:00.500Z,2.5,reviewed,"3 km NE of Renfrow, Oklahoma",-97.6306,36.9447,6.853,1399,0,-143853.878564597,1545794.1028364,1,38408400.5,306000.5
us10001pne,2015-03-21T16:23:39Z,2.8,reviewed,"5 km NNE of Guthrie, Oklahoma",-97.3975,35.926,5.293,1142,1,-124969.021965988,1431369.92568938,1,38420619,318219
us10001pxb,2015-03-21T17:23:58Z,2.7,reviewed,"9 km ESE of Mulhall, Oklahoma",-97.3106,36.025,4.511,1142,1,-117045.76536746,1442344.25527717,1,38424238,321838
us10001phg,2015-03-21T19:03:11.600Z,2.5,reviewed,"8 km NE of Quinlan, Oklahoma",-98.9813,36.5168,5,1264,0,-264488.008300494,1500769.52248191,1,38430191.5999999,327791.599999905
us10001pg2,2015-03-21T19:57:37Z,3,reviewed,"4 km SE of Perry, Oklahoma",-97.2504,36.2578,4.976,1228,1,-111326.765589198,1468341.78202479,1,38433457,331057
us10001pgt,2015-03-21T19:58:36Z,3.4,reviewed,"4 km SE of Perry, Oklahoma",-97.2549,36.2596,4.677,1228,1,-111724.728398118,1468548.65094024,1,38433516,331116
us10001pzj,2015-03-21T20:36:54Z,2.5,reviewed,"10 km NNW of Arcadia, Oklahoma",-97.381,35.7465,5.912,1099,1,-123785.697925643,1411252.0411959,1,38435814,333414
us10001qm8,2015-03-22T02:39:14.300Z,2.6,reviewed,"4 km W of Lucien, Oklahoma",-97.5089,36.2754,6.122,1227,1,-134308.709904123,1470646.91688823,1,38457554.3,355154.299999952
us10001pis,2015-03-22T02:50:15.500Z,2.7,reviewed,"2 km NE of Red Rock, Oklahoma",-97.1634,36.4736,8.047,1272,1,-103285.396777375,1492413.50906083,1,38458215.5,355815.5
us10001q0h,2015-03-22T04:15:56.600Z,2.5,reviewed,"7 km N of Hunter, Oklahoma",-97.6471,36.6341,5.865,1312,1,-145912.48573244,1511025.54596618,1,38463356.5999999,360956.599999905
us10001pjp,2015-03-22T11:12:09.900Z,3.3,reviewed,"9 km ENE of Perry, Oklahoma",-97.1971,36.3321,5,1228,1,-106476.740596726,1476602.03694709,1,38488329.9000001,385929.900000095
us10001ppc,2015-03-22T12:14:54Z,2.9,reviewed,"4 km NNE of Billings, Oklahoma",-97.43,36.57,5,1270,0,-126789.748950623,1503534.09285342,1,38492094,389694
us10001qeb,2015-03-22T12:31:51.800Z,2.6,reviewed,"9 km NNW of Langston, Oklahoma",-97.3092,36.0232,3.395,1142,1,-116923.520295657,1442140.97830528,1,38493111.8,390711.799999952
us10001qmz,2015-03-22T13:18:38Z,2.7,reviewed,"4 km W of Lucien, Oklahoma",-97.509,36.2789,6.362,1227,1,-134311.385838691,1471039.02419942,1,38495918,393518
us10001qwv,2015-03-22T14:19:56.200Z,2.5,reviewed,"5 km NNE of Nash, Oklahoma",-98.0294,36.7127,5.685,1311,1,-179586.80035525,1520484.2582463,1,38499596.2000001,397196.200000048
us10001qwx,2015-03-22T19:32:45.900Z,2.8,reviewed,"5 km W of Lucien, Oklahoma",-97.5108,36.2775,6.843,1227,1,-134474.077476779,1470884.78322301,1,38518365.9000001,415965.900000095
