cell_id,Z,area_km2,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat
19,0,13.1355580695052,-207868.047794809,923101.38608571,-98.1931178479468,31.3616827255914
20,0,121.142740563528,-193402.350430977,920860.953074049,-98.0400383924754,31.3444501734397
21,0,224.82425034841,-174353.483492339,918433.07419191,-97.8386654172169,31.326130193121
22,0,303.293179576722,-154677.189282918,916520.763127167,-97.6308640066534,31.3121755918675
23,0,357.305218854553,-134835.515961395,915189.089855958,-97.4214836100564,31.303073199056
24,0,389.241785634662,-114943.006858104,914398.914017096,-97.2116882454097,31.2984492954666
25,0,397.194013185297,-95060.1757805085,914202.490334303,-97.0020858487617,31.2987653385649
26,0,378.713092867422,-75180.036910188,914658.948584036,-96.7925686120688,31.3045541929546
27,0,333.080110557558,-55332.4876235495,915783.774701466,-96.5834092883297,31.3159536305663
28,0,259.845795447665,-35589.9206429724,917576.706912385,-96.3753269599973,31.3329604164784
29,0,159.364828082328,-16242.1103267851,919974.614038722,-96.1713336100251,31.3550082082883
30,0,36.0118869623478,-316.571062240637,922437.21562889,-96.0033403388451,31.3772679440521
60,0,39.5078509086629,-249195.402418104,942021.244146526,-98.6344711001802,31.5221821980149
61,0,222.060042771268,-233670.117733423,938269.655789256,-98.4693852098138,31.4922374098541
62,0,374.978329864068,-214625.852716375,934703.232504329,-98.2673094807752,31.4644706931791
63,0,400,-195037.049347754,934132.638365558,-98.0603106160682,31.4633524727694
64,0,400,-175037.049347754,934132.638365558,-97.8490932126407,31.467047987774
65,0,400,-155037.049347754,934132.638365558,-97.6378575370841,31.4703441883161
66,0,400,-135037.049347754,934132.638365558,-97.4266056745592,31.4732410330473
67,0,400,-115037.049347754,934132.638365558,-97.2153397111866,31.4757384856187
68,0,400,-95037.0493477536,934132.638365558,-97.0040617339226,31.4778365146853
69,0,400,-75037.0493477536,934132.638365558,-96.7927738304358,31.4795350939096
70,0,400,-55037.0493477537,934132.638365558,-96.5814780889839,31.4808342019651
71,0,400,-35037.0493477536,934132.638365558,-96.3701765982892,31.4817338225383
72,0,400,-15037.0493477536,934132.638365558,-96.1588714474151,31.4822339443315
73,0,393.43466539599,4828.20383956576,934286.859551275,-95.9489874969771,31.4837206972538
74,0,288.513415798119,24315.0792742485,936828.246415059,-95.7430264440497,31.5062675614733
75,0,169.66013665221,43671.5249595798,939678.564687914,-95.5383142949365,31.5312146217269
76,0,33.2845828769666,59284.2415680144,942420.422699421,-95.3730730463569,31.5550402241238
101,0,32.6214096764735,-288545.336068024,962066.031672924,-99.0570226520022,31.6915547879137
102,0,231.680182042447,-273534.521747988,957947.992129391,-98.896760834467,31.658812996493
103,0,388.262168412029,-254807.736327658,954402.293311419,-98.6974870250163,31.6319324500061
104,0,400,-235037.049347754,954132.638365558,-98.4882123063063,31.6343555214595
105,0,400,-215037.049347754,954132.638365558,-98.2765676949252,31.6388580090319
106,0,400,-195037.049347754,954132.638365558,-98.064900494232,31.6429605274956
107,0,400,-175037.049347754,954132.638365558,-97.8532128010253,31.6466630249576
108,0,400,-155037.049347754,954132.638365558,-97.6415067133235,31.6499654545683
109,0,400,-135037.049347754,954132.638365558,-97.4297843302396,31.652867774527
110,0,400,-115037.049347754,954132.638365558,-97.218047751857,31.6553699480871
111,0,400,-95037.0493477536,954132.638365558,-97.0062990791043,31.6574719435607
112,0,400,-75037.0493477536,954132.638365558,-96.7945404136305,31.6591737343221
113,0,400,-55037.0493477537,954132.638365558,-96.58277385768,31.6604752988112
114,0,400,-35037.0493477536,954132.638365558,-96.3710015139671,31.6613766205364
115,0,400,-15037.0493477536,954132.638365558,-96.1592254855511,31.6618776880761
116,0,400,4962.95065224637,954132.638365558,-95.9474478757108,31.6619784950803
