event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
usc000mdes,2014-01-30T04:50:30.580Z,3.2,reviewed,"6 km NW of Agra, Oklahoma",-96.9153,35.947,5.77,1144,1,-81828.1568846646,1433196.64195033,0,2523030.57999992,-35579369.4200001
usc000n5tf,2014-01-31T11:30:46.500Z,2.7,reviewed,"4 km NE of Coyle, Oklahoma",-97.196,35.983,3.7,1142,1,-106870.938177892,1437506.35849352,0,2633446.5,-35468953.5
usc000mejv,2014-01-31T15:52:56.570Z,3.1,reviewed,"2 km WSW of Jet, Oklahoma",-98.2081,36.6532,8.82,1310,1,-195552.557993878,1514172.74243238,0,2649176.56999993,-35453223.4300001
usc000meqp,2014-01-31T17:59:12.340Z,2.9,reviewed,"2 km SW of Boley, Oklahoma",-96.504,35.474,5,1016,1,-45339.1165940554,1379966.8750467,0,2656752.33999991,-35445647.6600001
usc000mf70,2014-02-01T09:08:02.300Z,3.6,reviewed,"6 km NNW of Agra, Oklahoma",-96.9074,35.9505,5,1144,1,-81118.1733931982,1433581.77642393,0,2711282.29999995,-35391117.7000001
usc000mfbv,2014-02-01T18:12:42.900Z,2.5,reviewed,"7 km N of Spencer, Oklahoma",-97.3788,35.5925,5,1056,1,-123838.648333822,1394010.06497154,0,2743962.9000001,-35358437.0999999
usc000mnz8,2014-02-02T12:06:28.510Z,2.7,reviewed,"5 km NE of Hillsdale, Oklahoma",-97.9548,36.5978,5,1311,1,-173250.96281495,1507476.37302163,0,2808388.50999999,-35294011.49
usc000mh8f,2014-02-02T16:37:32.990Z,2.6,reviewed,"13 km NNW of Perry, Oklahoma",-97.343,36.398,5,1271,1,-119348.77087852,1484156.23545297,0,2824652.99000001,-35277747.01
usc000mfzp,2014-02-03T08:43:30.810Z,2.9,reviewed,"7 km NNE of Bluff City, Kansas",-97.8334,37.133,5,1441,0,-161336.064953313,1567215.43110521,0,2882610.80999994,-35219789.1900001
usc000mg0h,2014-02-03T09:03:21.580Z,3.6,reviewed,"10 km SE of Freeport, Kansas",-97.7684,37.132,5,1441,0,-155618.93348577,1566995.00174701,0,2883801.57999992,-35218598.4200001
usc000n5vt,2014-02-04T07:04:51.100Z,2.6,reviewed,"6 km SSE of Lucien, Oklahoma",-97.4201,36.2227,5,1227,1,-126493.338419835,1464623.24652581,0,2963091.0999999,-35139308.9000001
usc000mj15,2014-02-04T10:21:59.320Z,2.6,reviewed,"2 km WSW of Nicoma Park, Oklahoma",-97.351,35.483,6.47,1013,1,-121516.175863161,1381717.82887134,0,2974919.31999993,-35127480.6800001
usc000mgyu,2014-02-04T14:08:17.140Z,3.3,reviewed,"8 km SE of Freeport, Kansas",-97.7874,37.1428,5,1441,0,-157267.974204355,1568236.26820097,0,2988497.1400001,-35113902.8599999
usc000mh1z,2014-02-04T15:59:51.270Z,3,reviewed,"6 km ESE of Orlando, Oklahoma",-97.3101,36.1286,5,1185,1,-116841.177026179,1453944.60544582,0,2995191.26999998,-35107208.73
usc000mirk,2014-02-05T23:15:40Z,3.5,reviewed,"3 km NNW of Medford, Oklahoma",-97.7503,36.8361,10.649,1355,1,-154636.92463504,1533816.10418666,0,3107740,-34994660
usc000mj5f,2014-02-06T12:48:08.630Z,3.3,reviewed,"5 km E of Cherokee, Oklahoma",-98.2949,36.7464,4.45,1353,1,-202986.107260471,1524793.24920664,0,3156488.63000011,-34945911.3699999
usc000mjxz,2014-02-07T02:00:37.400Z,2.6,reviewed,"7 km NNW of Perkins, Oklahoma",-97.076,36.036,5,1143,1,-96081.3870530555,1443312.93406419,0,3204037.4000001,-34898362.5999999
usc000mlar,2014-02-09T02:16:02Z,4.1,reviewed,"6 km SSW of Langston, Oklahoma",-97.292,35.893,5,1142,1,-115585.707230277,1427541.58423921,0,3377762,-34724638
usc000mlcl,2014-02-09T04:55:14.100Z,2.7,reviewed,"7 km NW of Meridian, Oklahoma",-97.297,35.891,4.4,1142,1,-116036.048931714,1427323.75048462,0,3387314.0999999,-34715085.9000001
usc000mlrm,2014-02-09T21:25:26.260Z,2.6,reviewed,"7 km NNE of Lake Aluma, Oklahoma",-97.4002,35.5956,6.72,1055,0,-125755.465133079,1394385.16612606,0,3446726.25999999,-34655673.74
